ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
253,5,20,1 2 12 13 14 ,-1.534000
254,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
255,17,20,1 2 3 4 6 7 8 9 11 12 13 14 15 17 18 19 20 ,0.182941
256,2,20,12 16 ,-2.030000
257,7,20,5 6 10 11 12 14 18 ,3.790001
258,13,20,1 4 5 6 7 8 10 11 12 16 18 19 20 ,-3.123077
259,19,20,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-1.550000
260,15,20,1 2 3 4 6 7 9 10 11 12 13 15 17 19 20 ,-1.422667
261,2,20,10 19 ,1.130000
262,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
263,17,20,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.296471
264,17,20,1 2 3 4 5 6 7 8 9 13 14 15 16 17 18 19 20 ,-3.774117
265,14,20,2 3 5 6 7 8 11 12 13 14 16 17 19 20 ,-0.087857
266,2,20,1 15 ,2.020000
267,10,20,2 3 5 7 10 11 12 13 18 19 ,1.694001
268,6,20,7 8 9 10 13 16 ,1.643333
269,14,20,2 3 4 6 7 10 11 12 14 15 17 18 19 20 ,-0.446429
270,17,20,1 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 ,-1.017058
271,9,20,1 4 5 8 9 13 14 15 19 ,4.601111
272,19,20,1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 ,-0.203685
273,12,20,1 2 4 6 8 9 10 11 12 15 16 17 ,-2.513333
274,19,20,1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 ,-3.989472
275,7,20,1 3 7 8 12 14 19 ,-0.681428
276,11,20,4 5 6 7 8 13 14 16 18 19 20 ,-0.130000
277,6,20,4 7 8 10 17 19 ,-0.693334
278,15,20,1 4 5 6 7 8 9 10 12 13 14 15 16 19 20 ,-1.704000
279,15,20,3 5 6 7 8 9 12 13 14 15 16 17 18 19 20 ,-0.228666
280,11,20,1 2 3 5 7 8 9 11 13 14 18 ,0.324545
281,15,20,1 4 5 6 7 8 9 11 12 14 15 16 17 19 20 ,0.578666
282,8,20,7 12 14 16 17 18 19 20 ,-4.511250
283,6,20,1 7 9 10 13 20 ,-6.735000
284,4,20,3 6 8 14 ,-3.000000
285,11,20,1 7 8 9 11 13 14 15 16 17 19 ,5.456365
286,14,20,1 2 4 5 6 7 9 11 12 15 16 18 19 20 ,-0.660714
287,4,20,7 15 16 20 ,2.237500
288,8,20,2 3 4 6 7 10 14 15 ,-2.987500
289,11,20,1 2 3 6 10 11 12 13 16 17 20 ,1.345455
290,6,20,2 9 10 11 14 18 ,0.265000
291,9,20,3 5 7 8 9 11 13 16 18 ,3.587778
292,13,20,3 6 8 9 10 12 13 14 15 16 17 18 20 ,-3.873077
293,13,20,1 2 3 5 7 8 10 11 12 13 15 18 20 ,1.272308
294,3,20,7 10 17 ,2.393333
295,2,20,4 8 ,3.975000
296,6,20,5 8 9 11 14 20 ,0.003333
297,7,20,1 2 3 8 12 13 18 ,1.824286
298,17,20,1 3 4 5 7 8 9 10 11 12 13 14 15 17 18 19 20 ,0.134706
299,18,20,1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 20 ,-2.710556
300,17,20,1 2 3 4 5 6 7 8 9 11 12 13 15 16 17 19 20 ,-0.282353
301,10,20,1 2 3 4 5 7 11 12 16 20 ,2.680000
302,9,20,1 3 4 5 8 10 11 14 16 ,-6.640000
303,7,20,7 9 10 11 12 15 18 ,1.851429
304,7,20,1 2 6 11 12 13 18 ,7.198572
305,5,20,4 6 7 8 15 ,-1.702000
306,10,20,6 7 8 10 12 13 14 17 18 19 ,-2.446000
307,19,20,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 ,-3.458947
308,18,20,1 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 ,-2.587778
309,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 ,-3.171052
310,18,20,1 2 3 4 5 6 8 9 10 12 13 14 15 16 17 18 19 20 ,-3.908889
311,12,20,2 5 6 7 9 10 11 12 15 18 19 20 ,1.474167
312,5,20,2 6 11 14 20 ,3.920000
313,19,20,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-1.563158
314,12,20,2 3 8 9 10 11 12 13 15 16 18 20 ,-2.426667
315,15,20,1 2 3 4 6 7 10 11 12 14 15 16 17 18 19 ,-4.078667
316,16,20,1 2 4 5 6 8 10 11 12 13 14 15 16 18 19 20 ,-1.712500
317,16,20,2 3 4 6 8 9 10 11 12 13 14 15 16 18 19 20 ,-3.306251
